start_lat,start_lon,end_lat,end_lon
1.35205,103.87967,1.35198,103.87979
1.35198,103.87979,1.35195,103.87994
1.35195,103.87994,1.35195,103.87999
1.35195,103.87999,1.35196,103.88008
1.35196,103.88008,1.35208,103.88074
1.35208,103.88074,1.35207,103.88081
1.35207,103.88081,1.35204,103.88086
1.35204,103.88086,1.35199,103.8809
1.35199,103.8809,1.35194,103.88093
1.35194,103.88093,1.35189,103.88094
1.35189,103.88094,1.35168,103.88092
1.35168,103.88092,1.35103,103.8808
1.35103,103.8808,1.35116,103.87973
1.35116,103.87973,1.35113,103.87953
1.35113,103.87953,1.35103,103.87922
1.35103,103.87922,1.35111,103.87914
1.35111,103.87914,1.35134,103.87893
1.35134,103.87893,1.35152,103.87867
1.35152,103.87867,1.35168,103.87838
1.35168,103.87838,1.35183,103.8779
1.35183,103.8779,1.35201,103.87737
1.35201,103.87737,1.35207,103.87707
1.35207,103.87707,1.35214,103.87677
1.35214,103.87677,1.35215,103.8766
1.35215,103.8766,1.35214,103.87644
1.35214,103.87644,1.35209,103.8763
1.35209,103.8763,1.35148,103.8756
1.35148,103.8756,1.35051,103.87457
1.35051,103.87457,1.35005,103.87415
1.35005,103.87415,1.34983,103.87397
1.34983,103.87397,1.34962,103.87377
1.34962,103.87377,1.34902,103.87328
1.34902,103.87328,1.3485,103.87288
1.3485,103.87288,1.34819,103.87267
1.34819,103.87267,1.348,103.87254
1.348,103.87254,1.34741,103.8722
1.34741,103.8722,1.34671,103.87185
1.34671,103.87185,1.34613,103.87159
1.34613,103.87159,1.34517,103.87116
1.34517,103.87116,1.34469,103.87099
1.34469,103.87099,1.34445,103.87091
1.34445,103.87091,1.34422,103.87086
1.34422,103.87086,1.34402,103.87083
1.34402,103.87083,1.3438,103.87082
1.3438,103.87082,1.34364,103.87088
1.34364,103.87088,1.34354,103.87096
1.34354,103.87096,1.34349,103.87107
1.34349,103.87107,1.34367,103.87145
1.34367,103.87145,1.34375,103.87184
1.34375,103.87184,1.34376,103.87229
1.34376,103.87229,1.34369,103.87334
1.34369,103.87334,1.34381,103.87334
1.34381,103.87334,1.34383,103.87302
start_lat,start_lon,end_lat,end_lon
1.39836,103.74659,1.39839,103.74652
1.39839,103.74652,1.39888,103.74666
1.39888,103.74666,1.39867,103.74743
1.39867,103.74743,1.3986,103.7477
1.3986,103.7477,1.39858,103.74778
1.39858,103.74778,1.39851,103.74804
1.39851,103.74804,1.3982,103.74796
1.3982,103.74796,1.39665,103.74753
1.39665,103.74753,1.3966,103.74751
1.3966,103.74751,1.39647,103.74747
1.39647,103.74747,1.39637,103.74744
1.39637,103.74744,1.39628,103.74741
1.39628,103.74741,1.39607,103.74734
1.39607,103.74734,1.3952,103.74695
1.3952,103.74695,1.39516,103.74692
1.39516,103.74692,1.39458,103.7466
1.39458,103.7466,1.39416,103.74633
1.39416,103.74633,1.39292,103.74542
1.39292,103.74542,1.39256,103.74522
1.39256,103.74522,1.39242,103.74516
1.39242,103.74516,1.39232,103.74513
1.39232,103.74513,1.39222,103.7451
1.39222,103.7451,1.39213,103.74509
1.39213,103.74509,1.39199,103.74508
1.39199,103.74508,1.39192,103.74507
1.39192,103.74507,1.3914,103.74503
1.3914,103.74503,1.39108,103.74508
1.39108,103.74508,1.39065,103.7452
1.39065,103.7452,1.39011,103.74552
1.39011,103.74552,1.38999,103.74566
1.38999,103.74566,1.38994,103.74587
1.38994,103.74587,1.39,103.74612
1.39,103.74612,1.39007,103.74664
1.39007,103.74664,1.39008,103.74699
1.39008,103.74699,1.38995,103.74835
1.38995,103.74835,1.38976,103.74961
1.38976,103.74961,1.38908,103.75313
1.38908,103.75313,1.38894,103.75396
1.38894,103.75396,1.38882,103.755
1.38882,103.755,1.3888,103.75584
1.3888,103.75584,1.38885,103.75673
1.38885,103.75673,1.38897,103.7577
1.38897,103.7577,1.3892,103.75874
1.3892,103.75874,1.38936,103.75938
1.38936,103.75938,1.38957,103.75994
1.38957,103.75994,1.3899,103.76106
1.3899,103.76106,1.39019,103.76222
1.39019,103.76222,1.39041,103.76332
1.39041,103.76332,1.39055,103.76432
1.39055,103.76432,1.39064,103.76532
1.39064,103.76532,1.39067,103.76664
1.39067,103.76664,1.39054,103.77138
1.39054,103.77138,1.39048,103.77287
1.39048,103.77287,1.39044,103.77464
1.39044,103.77464,1.3905,103.77505
1.3905,103.77505,1.3906,103.77531
1.3906,103.77531,1.39071,103.77555
1.39071,103.77555,1.39085,103.77574
1.39085,103.77574,1.39111,103.7759
1.39111,103.7759,1.39138,103.77601
1.39138,103.77601,1.39158,103.77604
1.39158,103.77604,1.39174,103.77602
1.39174,103.77602,1.39189,103.77599
1.39189,103.77599,1.39205,103.77591
1.39205,103.77591,1.39221,103.77575
1.39221,103.77575,1.39232,103.77551
1.39232,103.77551,1.39236,103.77529
1.39236,103.77529,1.39229,103.77501
1.39229,103.77501,1.39214,103.77483
1.39214,103.77483,1.39194,103.77469
1.39194,103.77469,1.39176,103.77462
1.39176,103.77462,1.3915,103.77457
1.3915,103.77457,1.39109,103.77454
1.39109,103.77454,1.39061,103.7745
1.39061,103.7745,1.38577,103.77511
1.38577,103.77511,1.38415,103.77531
1.38415,103.77531,1.38294,103.77547
1.38294,103.77547,1.38154,103.7757
1.38154,103.7757,1.38029,103.77596
1.38029,103.77596,1.37596,103.77714
1.37596,103.77714,1.37322,103.77789
1.37322,103.77789,1.37307,103.77792
1.37307,103.77792,1.37168,103.77835
1.37168,103.77835,1.37024,103.77872
1.37024,103.77872,1.36898,103.77905
1.36898,103.77905,1.36754,103.77934
1.36754,103.77934,1.36721,103.77941
1.36721,103.77941,1.36499,103.77977
